ID,repository_name,language
1,.github,
2,app-store-server-library-java,Java
3,app-store-server-library-node,TypeScript
4,app-store-server-library-python,Python
5,app-store-server-library-swift,Swift
6,apple-llvm-infrastructure-tools,C++
7,apple-root-program,
8,apple_rules_lint,Starlark
9,ARKitScenes,Python
10,AudioUnit-Examples,Swift
11,AudioUnitSDK,C++
12,axlearn,Python
13,batch-processing-gateway,Java
14,ccs-caldavclientlibrary,HTML
15,ccs-caldavtester,Python
16,ccs-calendarserver,Python
17,ccs-pycalendar,Python
18,ccs-pykerberos,C
19,ccs-pyopendirectory,C++
20,ccs-pyosxframeworks,Python
21,ccs-pysecuretransport,Python
22,ccs-twistedextensions,Python
23,container,Swift
24,container-builder-shim,Go
25,containerization,Swift
26,coremltools,Python
27,corenet,Jupyter Notebook
28,cups,C
29,darwin-libplatform,C
30,darwin-libpthread,C
31,darwin-xnu,C
32,device-management,
33,dmel,Python
34,dmel-demo,HTML
35,dnikit,Python
36,eidas,Go
37,embedding-atlas,TypeScript
38,example-package-fisheryates,Swift
39,FHIRModels,Swift
40,foundationdb,C++
41,fstools,C
42,game-center-tools,Python
43,GCGC,Jupyter Notebook
44,highlightjs-pkl,JavaScript
45,homebrew-apple,Ruby
46,HomeKitADK,C
47,learning-compressible-subspaces,Python
48,learning-subspaces,Python
49,llvm-monorepo-root,
50,llvm-project-v5,C++
51,llvm-project-v5-split,C++
52,mapkit-loader,TypeScript
53,ml-4m,Python
54,ml-acn-embed,Python
55,ml-act,Python
56,ml-ademamix,Python
57,ml-afv,Python
58,ml-agent-evaluator,Jupyter Notebook
59,ml-agm,Python
60,ml-aim,Python
61,ml-all-pairs,Python
62,ml-ane-transformers,Python
63,ml-aspanformer,Python
64,ml-aspera,Python
65,ml-atoken,Jupyter Notebook
66,ml-aura,Python
67,ml-autofocusformer,Python
68,ml-autofocusformer-segmentation,Python
69,ml-batchquant,Python
70,ml-behavioral-testing-for-mt,
71,ml-bilevel-train-dist,Python
72,ml-bloop,Python
73,ml-calibration,Jupyter Notebook
74,ml-capsules-inverted-attention-routing,Python
75,ml-cifar-10-faster,Python
76,ml-clara,Python
77,ml-code-switched-speech-translation,Python
78,ml-codeswitching-translations,
79,ml-collegial-ensembles,Python
80,ml-comotion,Python
81,ml-compress-and-compare,Python
82,ml-constructive-circuit-amplification,Python
83,ml-core,Python
84,ml-covid-mobility,R
85,ml-cread,Python
86,ml-cross-entropy,Python
87,ml-cubifyanything,Python
88,ml-cvnets,Python
89,ml-cvpr2019-swd,Python
90,ml-dab,Python
91,ml-data-parameters,Python
92,ml-dataset-decomposition,Python
93,ml-delphi,
94,ml-depth-pro,Python
95,ml-destseg,Python
96,ml-diffucoder,Python
97,ml-diffusion-alignment-gflownet,Python
98,ml-direct2.5,Python
99,ml-divide-or-conquer,Python
100,ml-dms-dataset,Python
101,ml-dprecs,Jupyter Notebook
102,ml-dr,Python
103,ml-duet,Python
104,ml-egodex,Python
105,ml-encqa,Python
106,ml-entity-deduction-arena,Python
107,ml-entropy-reconstruction,Python
108,ml-envmapnet,Python
109,ml-epicache,Python
110,ml-equivariant-neural-rendering,Jupyter Notebook
111,ml-facelit,Python
112,ml-famae,Python
113,ml-fastvit,Python
114,ml-fastvlm,Python
115,ml-fct,Python
116,ml-ferret,Python
117,ml-finerecon,Python
118,ml-flair,Jupyter Notebook
119,ml-flextok,Jupyter Notebook
120,ml-fs-dfm,Python
121,ml-gaudi,
122,ml-gbc,Python
123,ml-genctrl,Python
124,ml-gendered-translation,Ruby
125,ml-gie-bench,Python
126,ml-gmpi,Python
127,ml-gsm-symbolic,
128,ml-gsn,Python
129,ml-hd-gist,Python
130,ml-health-query-profiles,Python
131,ml-heart-rate-models,Python
132,ml-hierarchical-confusion-matrix,TypeScript
133,ml-hilbert,Python
134,ml-hugs,Python
135,ml-hypercloning,Python
136,ml-hypersim,Python
137,ml-icr2,Python
138,ml-inrflow,Python
139,ml-interactive-data-augmentation,Svelte
140,ml-internal-llms-instruction-following,Python
141,ml-interspeech2022-phi_rtn,
142,ml-isqoe,Python
143,ml-jointnet,Python
144,ml-key-retrieval-code-tasks,Python
145,ml-keyframer,JavaScript
146,ml-kg-mt,Python
147,ml-kge,Python
148,ml-knowledge-conflicts,Python
149,ml-kpconvx,Python
150,ml-l3m,Python
151,ml-lineas,Python
152,ml-lito,
153,ml-live-pose,
154,ml-llarp,Python
155,ml-loop,Python
156,ml-lucid-datagen,Python
157,ml-macereason-math,
158,ml-mad-bench,Jupyter Notebook
159,ml-matrix3d,Python
160,ml-mcf,Python
161,ml-mcp-repo-level-coding,Python
162,ml-mdm,Python
163,ml-mebp,Swift
164,ml-memory-pretraining,Python
165,ml-mgie,Python
166,ml-mia-bench,Jupyter Notebook
167,ml-MixupMP,Python
168,ml-mkqa,Python
169,ml-mobileclip,Python
170,ml-mobileclip-dr,Python
171,ml-mobileone,Swift
172,ml-mofi,Python
173,ml-multilingual-reasoning-gym,Python
174,ml-multiple-futures-prediction,Python
175,ml-mycelium,JavaScript
176,ml-ncg,Python
177,ml-negative-sampling,Python
178,ml-neilf,Python
179,ml-neilfpp,Python
180,ml-neuman,Python
181,ml-no-token-left-behind,Jupyter Notebook
182,ml-np-rasp,Python
183,ml-nvas3d,Python
184,ml-ogen,Python
185,ml-omni-router-moe-asr,Python
186,ml-over-searching,
187,ml-pararnn,Python
188,ml-persona-red-teaming,Python
189,ml-pfl4asr,Python
190,ml-pgdvs,Python
191,ml-planner,Python
192,ml-pointconvformer,Python
193,ml-pointersect,Python
194,ml-policy-projector,Python
195,ml-ppg-age-analysis,Python
196,ml-predict,Python
197,ml-primex,
198,ml-probabilistic-attention,Python
199,ml-projunit,Python
200,ml-pytod,Python
201,ml-qrecc,Python
202,ml-quant,Python
203,ml-recurrent-drafter,Python
204,ml-reed,Python
205,ml-reversal-blessing,Python
206,ml-rl-universal-sequence-design,Python
207,ml-rldf,Python
208,ml-rlgrad,Python
209,ml-robust-expert-augmentations,Python
210,ml-rpm-bench,Python
211,ml-sad,Python
212,ml-sage-dialog-gen,Python
213,ml-sampleplan,Python
214,ml-scaffold,Python
215,ml-scalefit,Python
216,ml-scaling-downstream-metrics,Python
217,ml-selfcond,Python
218,ml-selfreflect,Python
219,ml-semantic-regex,Jupyter Notebook
220,ml-sharp,Python
221,ml-shuffling-amplification,Python
222,ml-sid-dit,Python
223,ml-sigma-reparam,Python
224,ml-sigmoid-attention,Python
225,ml-simplefold,Python
226,ml-slowfast-llava,Python
227,ml-sobench,Python
228,ml-space-benchmark,Python
229,ml-spatial-librispeech,
230,ml-speculative-streaming,Python
231,ml-speech-is-more-than-words,
232,ml-speech-polynorm-bench,
233,ml-spin,Python
234,ml-stable-diffusion,Python
235,ml-stabledreamer,
236,ml-starflow,Python
237,ml-streambridge,Python
238,ml-stuttering-events-dataset,Python
239,ml-superposition-prompting,Python
240,ml-switchboard-affect,Python
241,ml-symphony,Svelte
242,ml-synthbias,
243,ml-tada,Python
244,ml-tarflow,Python
245,ml-tic-clip,Python
246,ml-tic-lm,Python
247,ml-toad,Python
248,ml-tract,Python
