ID,repository_name,language
1,.github,
2,aegisthus,Java
3,af_tsa,C
4,aminator,Python
5,archaius,Java
6,asf-rez-fork,Python
7,asgard,Groovy
8,astyanax,Java
9,atlas,Scala
10,atlas-docs,Python
11,aws-autoscaling,Shell
12,awsobjectmapper,Groovy
13,batch_request_api,Ruby
14,batch_request_client,Ruby
15,bbparse,C
16,bettertls,Go
17,blesk,JavaScript
18,bless,Python
19,blitz4j,Java
20,bpftop,C
21,brutal,Python
22,cachemover,C++
23,CassJMeter,Java
24,chaosmonkey,Go
25,Cloud-Prize,
26,clove,Python
27,codec_compare,Python
28,concurrency-limits,Java
29,conductor,Java
30,conductor-community,Java
31,conductor-docs,Python
32,conductor-ui,JavaScript
33,consoleme,Python
34,curator,Java
35,denominator,Java
36,derand,Java
37,dgs,HTML
38,dgs-codegen,Kotlin
39,dgs-examples-java,Java
40,dgs-examples-java-2.7,Java
41,dgs-examples-java.latest,Java
42,dgs-examples-kotlin,Kotlin
43,dgs-examples-kotlin-2.7,Kotlin
44,dgs-examples-webflux,Java
45,dgs-federation-example,Kotlin
46,dgs-framework,Kotlin
47,dgs-intellij-plugin,Kotlin
48,dial-reference,C
49,dispatch,Python
50,dispatch-docker,Shell
51,dyno,Java
52,dyno-queues,Java
53,dynomite,C
54,dynomite-manager,Java
55,e2nest,Python
56,eclipse-jifa,Java
57,eclipse-mat,
58,edda,Scala
59,edda-client,Java
60,element-server,JavaScript
61,ember-batch-request,JavaScript
62,ember-nf-graph,JavaScript
63,ember-nf-graph-examples,JavaScript
64,eslint-config-netflix,Shell
65,eslint-plugin-x-element,JavaScript
66,eureka,Java
67,eureka-ui,JavaScript
68,EVCache,Java
69,fabricator,Java
70,falcor,JavaScript
71,falcor-datasource-chainer,JavaScript
72,falcor-express,JavaScript
73,falcor-express-demo,HTML
74,falcor-hapi,JavaScript
75,falcor-hapi-demo,HTML
76,falcor-http-datasource,JavaScript
77,falcor-json-graph,JavaScript
78,falcor-observable,JavaScript
79,falcor-path-syntax,JavaScript
80,falcor-path-utils,JavaScript
81,falcor-restify,JavaScript
82,falcor-restify-demo,HTML
83,falcor-router,JavaScript
84,falcor-router-demo,JavaScript
85,fast_jsonapi,Ruby
86,Fenzo,Java
87,Fido,C#
88,flamescope,Python
89,frigga,Java
90,genie,Java
91,glisten,Groovy
92,global-lock-bench,C
93,go-env,Go
94,go-expect,Go
95,go-iomux,Go
96,governator,Java
97,gradle-template,Java
98,hal-9001,Go
99,hollow,Java
100,hollow-reference-implementation,Java
101,hubcommander,Python
102,Hystrix,Java
103,iceberg,Java
104,iceberg-python,Python
105,iep,Java
106,iep-shadow,
107,image_compression_comparison,Python
108,inviso,JavaScript
109,karyon,Java
110,lemur,Python
111,lemur-docker,Python
112,libamicontained,Rust
113,Lipstick,JavaScript
114,maestro,Java
115,mantis,Java
116,mantis-api,Java
117,mantis-cli,JavaScript
118,mantis-connectors,Java
119,mantis-control-plane,Java
120,mantis-examples,Java
121,mantis-gradle-plugin,Groovy
122,mantis-helm,Smarty
123,mantis-mql,Clojure
124,mantis-rxcontrol,Java
125,mantis-rxnetty,
126,mantis-source-jobs,Java
127,mantis-ui,TypeScript
128,matchcut,Jupyter Notebook
129,metacat,Java
130,metaflow,Python
131,metaflow-docs,JavaScript
132,metaflow-extensions-template,Python
133,metaflow-nflx-extensions,Python
134,metaflow-service,Python
135,metaflow-tools,HCL
136,metaflow-ui,TypeScript
137,metrics-client-go,Go
138,msl,C++
139,ndbench,HTML
140,nerror,JavaScript
141,netflix-commons,Java
142,netflix-graph,Java
143,netflix.github.com,HTML
144,netflixoss-npm-build-infrastructure,
145,nf-data-explorer,TypeScript
146,nflx-geofeed,
147,nflxprofile,Python
148,NfWebCrypto,C++
149,Nicobar,Java
150,ocelli,Java
151,octodns,Python
152,octodns-ns1,Python
153,octodns-route53,Python
154,octodns-ultra,Python
155,OpenVPCal,Python
156,osstracker,Scala
157,ostris-ai-toolkit-fork,
158,p2plab,Go
159,photon,Java
160,PigPen,Clojure
161,pollyjs,JavaScript
162,polynote,HTML
163,Prana,Java
164,Priam,Java
165,probnik,TypeScript
